Torch device selected:  cuda
Selected Mode 3
<bound method ConvNet.model_3 of ConvNet(
  (out1): Linear(in_features=100, out_features=10, bias=True)
  (out2): Linear(in_features=1000, out_features=10, bias=True)
  (fcl1): Linear(in_features=784, out_features=100, bias=True)
  (fcl2): Linear(in_features=12960, out_features=100, bias=True)
  (fcl3): Linear(in_features=100, out_features=100, bias=True)
  (fcl4): Linear(in_features=12960, out_features=1000, bias=True)
  (fcl5): Linear(in_features=1000, out_features=1000, bias=True)
  (conv1): Conv2d(1, 40, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(40, 40, kernel_size=(5, 5), stride=(1, 1))
  (drop_layer): Dropout2d(p=0.5, inplace=False)
)>
Train set: Average loss: 2.3044, Accuracy: 6431/60000 (11%)


Test set: Average loss: 2.3025, Accuracy: 958/10000 (10%)

Train set: Average loss: 2.3081, Accuracy: 6325/60000 (11%)


Test set: Average loss: 2.3040, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3081, Accuracy: 6168/60000 (10%)


Test set: Average loss: 2.3100, Accuracy: 1032/10000 (10%)

Train set: Average loss: 2.3083, Accuracy: 6201/60000 (10%)


Test set: Average loss: 2.3145, Accuracy: 980/10000 (10%)

Train set: Average loss: 2.3082, Accuracy: 6185/60000 (10%)


Test set: Average loss: 2.3072, Accuracy: 1009/10000 (10%)

Train set: Average loss: 2.3080, Accuracy: 6147/60000 (10%)


Test set: Average loss: 2.3073, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3076, Accuracy: 6216/60000 (10%)


Test set: Average loss: 2.3072, Accuracy: 982/10000 (10%)

Train set: Average loss: 2.3077, Accuracy: 6290/60000 (10%)


Test set: Average loss: 2.3047, Accuracy: 982/10000 (10%)

Train set: Average loss: 2.3079, Accuracy: 6271/60000 (10%)


Test set: Average loss: 2.3049, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3083, Accuracy: 6204/60000 (10%)


Test set: Average loss: 2.3097, Accuracy: 1028/10000 (10%)

Train set: Average loss: 2.3080, Accuracy: 6413/60000 (11%)


Test set: Average loss: 2.3101, Accuracy: 1028/10000 (10%)

Train set: Average loss: 2.3084, Accuracy: 6278/60000 (10%)


Test set: Average loss: 2.3074, Accuracy: 1028/10000 (10%)

Train set: Average loss: 2.3081, Accuracy: 6262/60000 (10%)


Test set: Average loss: 2.3054, Accuracy: 892/10000 (9%)

Train set: Average loss: 2.3078, Accuracy: 6384/60000 (11%)


Test set: Average loss: 2.3035, Accuracy: 1032/10000 (10%)

Train set: Average loss: 2.3078, Accuracy: 6207/60000 (10%)


Test set: Average loss: 2.3044, Accuracy: 1032/10000 (10%)

Train set: Average loss: 2.3083, Accuracy: 6226/60000 (10%)


Test set: Average loss: 2.3038, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3080, Accuracy: 6213/60000 (10%)


Test set: Average loss: 2.3126, Accuracy: 1010/10000 (10%)

Train set: Average loss: 2.3083, Accuracy: 6175/60000 (10%)


Test set: Average loss: 2.3070, Accuracy: 1009/10000 (10%)

Train set: Average loss: 2.3080, Accuracy: 6340/60000 (11%)


Test set: Average loss: 2.3042, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3079, Accuracy: 6224/60000 (10%)


Test set: Average loss: 2.3103, Accuracy: 1010/10000 (10%)

Train set: Average loss: 2.3077, Accuracy: 6223/60000 (10%)


Test set: Average loss: 2.3049, Accuracy: 1032/10000 (10%)

Train set: Average loss: 2.3086, Accuracy: 6123/60000 (10%)


Test set: Average loss: 2.3085, Accuracy: 980/10000 (10%)

Train set: Average loss: 2.3079, Accuracy: 6278/60000 (10%)


Test set: Average loss: 2.3112, Accuracy: 1009/10000 (10%)

Train set: Average loss: 2.3076, Accuracy: 6269/60000 (10%)


Test set: Average loss: 2.3081, Accuracy: 1010/10000 (10%)

Train set: Average loss: 2.3078, Accuracy: 6267/60000 (10%)


Test set: Average loss: 2.3073, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3080, Accuracy: 6268/60000 (10%)


Test set: Average loss: 2.3037, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3082, Accuracy: 6287/60000 (10%)


Test set: Average loss: 2.3064, Accuracy: 1009/10000 (10%)

Train set: Average loss: 2.3082, Accuracy: 6180/60000 (10%)


Test set: Average loss: 2.3041, Accuracy: 980/10000 (10%)

Train set: Average loss: 2.3075, Accuracy: 6353/60000 (11%)


Test set: Average loss: 2.3071, Accuracy: 1010/10000 (10%)

Train set: Average loss: 2.3079, Accuracy: 6326/60000 (11%)


Test set: Average loss: 2.3091, Accuracy: 958/10000 (10%)

Train set: Average loss: 2.3080, Accuracy: 6292/60000 (10%)


Test set: Average loss: 2.3077, Accuracy: 1028/10000 (10%)

Train set: Average loss: 2.3080, Accuracy: 6338/60000 (11%)


Test set: Average loss: 2.3066, Accuracy: 1009/10000 (10%)

Train set: Average loss: 2.3081, Accuracy: 6218/60000 (10%)


Test set: Average loss: 2.3059, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3078, Accuracy: 6223/60000 (10%)


Test set: Average loss: 2.3084, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3080, Accuracy: 6262/60000 (10%)


Test set: Average loss: 2.3111, Accuracy: 1028/10000 (10%)

Train set: Average loss: 2.3076, Accuracy: 6415/60000 (11%)


Test set: Average loss: 2.3082, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3080, Accuracy: 6288/60000 (10%)


Test set: Average loss: 2.3127, Accuracy: 1009/10000 (10%)

Train set: Average loss: 2.3079, Accuracy: 6425/60000 (11%)


Test set: Average loss: 2.3047, Accuracy: 1010/10000 (10%)

Train set: Average loss: 2.3078, Accuracy: 6244/60000 (10%)


Test set: Average loss: 2.3160, Accuracy: 958/10000 (10%)

Train set: Average loss: 2.3083, Accuracy: 6234/60000 (10%)


Test set: Average loss: 2.3052, Accuracy: 982/10000 (10%)

Train set: Average loss: 2.3081, Accuracy: 6218/60000 (10%)


Test set: Average loss: 2.3073, Accuracy: 1028/10000 (10%)

Train set: Average loss: 2.3076, Accuracy: 6425/60000 (11%)


Test set: Average loss: 2.3066, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3080, Accuracy: 6212/60000 (10%)


Test set: Average loss: 2.3120, Accuracy: 1009/10000 (10%)

Train set: Average loss: 2.3077, Accuracy: 6410/60000 (11%)


Test set: Average loss: 2.3075, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3080, Accuracy: 6211/60000 (10%)


Test set: Average loss: 2.3097, Accuracy: 974/10000 (10%)

